"date","id","block","trial","word","font","valence","resp","rt","wf_kf","val_mn","arous_mn","domin_mn","val_sd","arous_sd","domin_sd","course","cnt"
"2022-09-23_10h37.26.144",1002,"practice",1,"green","green",NA,"f",2831.4,NA,NA,NA,NA,NA,NA,NA,"GCDS",1
"2022-09-23_10h37.26.144",1002,"practice",2,"orange","yellow",NA,"j",1343.6,NA,NA,NA,NA,NA,NA,NA,"GCDS",1
"2022-09-23_10h37.26.144",1002,"practice",3,"orange","orange",NA,"j",2164.8,NA,NA,NA,NA,NA,NA,NA,"GCDS",1
"2022-09-23_10h37.26.144",1002,"practice",4,"orange","orange",NA,"j",700.2,NA,NA,NA,NA,NA,NA,NA,"GCDS",1
"2022-09-23_10h37.26.144",1002,"practice",5,"yellow","green",NA,"k",1980.8,NA,NA,NA,NA,NA,NA,NA,"GCDS",1
"2022-09-23_10h37.26.144",1002,"practice",6,"blue","blue",NA,"d",1153,NA,NA,NA,NA,NA,NA,NA,"GCDS",1
"2022-09-23_10h37.26.144",1002,"practice",7,"blue","green",NA,"f",1998,NA,NA,NA,NA,NA,NA,NA,"GCDS",1
"2022-09-23_10h37.26.144",1002,"practice",8,"green","yellow",NA,"j",1482.1,NA,NA,NA,NA,NA,NA,NA,"GCDS",1
"2022-09-23_10h37.26.144",1002,"practice",9,"orange","blue",NA,"k",2716.9,NA,NA,NA,NA,NA,NA,NA,"GCDS",1
"2022-09-23_10h37.26.144",1002,"practice",10,"yellow","yellow",NA,"k",3766.9,NA,NA,NA,NA,NA,NA,NA,"GCDS",1
"2022-09-23_10h37.26.144",1002,"practice",11,"green","orange",NA,"f",1505.8,NA,NA,NA,NA,NA,NA,NA,"GCDS",1
"2022-09-23_10h37.26.144",1002,"practice",12,"blue","blue",NA,"d",1197.4,NA,NA,NA,NA,NA,NA,NA,"GCDS",1
"2022-09-23_10h37.26.144",1002,"practice",13,"yellow","yellow",NA,"k",1498.4,NA,NA,NA,NA,NA,NA,NA,"GCDS",1
"2022-09-23_10h37.26.144",1002,"practice",14,"blue","orange",NA,"j",1130.1,NA,NA,NA,NA,NA,NA,NA,"GCDS",1
"2022-09-23_10h37.26.144",1002,"practice",15,"orange","green",NA,"f",1107,NA,NA,NA,NA,NA,NA,NA,"GCDS",1
"2022-09-23_10h37.26.144",1002,"practice",16,"blue","blue",NA,"d",1697,NA,NA,NA,NA,NA,NA,NA,"GCDS",1
"2022-09-23_10h37.26.144",1002,"practice",17,"yellow","yellow",NA,"k",1280.7,NA,NA,NA,NA,NA,NA,NA,"GCDS",1
"2022-09-23_10h37.26.144",1002,"practice",18,"green","blue",NA,"f",1432.4,NA,NA,NA,NA,NA,NA,NA,"GCDS",1
"2022-09-23_10h37.26.144",1002,"practice",19,"green","green",NA,"f",1114.3,NA,NA,NA,NA,NA,NA,NA,"GCDS",1
"2022-09-23_10h37.26.144",1002,"practice",20,"yellow","blue",NA,"k",1299.6,NA,NA,NA,NA,NA,NA,NA,"GCDS",1
"2022-09-23_10h37.26.144",1002,"practice",21,"blue","yellow",NA,"k",2999.4,NA,NA,NA,NA,NA,NA,NA,"GCDS",1
"2022-09-23_10h37.26.144",1002,"practice",22,"yellow","orange",NA,"j",984,NA,NA,NA,NA,NA,NA,NA,"GCDS",1
"2022-09-23_10h37.26.144",1002,"practice",23,"green","green",NA,"f",832.1,NA,NA,NA,NA,NA,NA,NA,"GCDS",1
"2022-09-23_10h37.26.144",1002,"practice",24,"orange","orange",NA,"j",1121.3,NA,NA,NA,NA,NA,NA,NA,"GCDS",1
"2022-09-23_10h37.26.144",1002,"stroop",1,"blue","blue",NA,"d",930.6,NA,NA,NA,NA,NA,NA,NA,"GCDS",1
"2022-09-23_10h37.26.144",1002,"stroop",2,"orange","orange",NA,"j",815.1,NA,NA,NA,NA,NA,NA,NA,"GCDS",1
"2022-09-23_10h37.26.144",1002,"stroop",3,"green","green",NA,"f",533.3,NA,NA,NA,NA,NA,NA,NA,"GCDS",1
"2022-09-23_10h37.26.144",1002,"stroop",4,"green","green",NA,"f",900,NA,NA,NA,NA,NA,NA,NA,"GCDS",1
