"Package","Version"
"abind","1.4-5"
"AER","1.2-10"
"afex","1.3-0"
"alr4","1.0.6"
"anytime","0.3.9"
"aod","1.3.3"
"ape","5.7-1"
"aplot","0.2.2"
"archive","1.1.7"
"AsioHeaders","1.22.1-2"
"askpass","1.2.0"
"assertthat","0.2.1"
"AUC","0.3.2"
"av","0.9.0"
"backports","1.4.1"
"base64enc","0.1-3"
"base64url","1.4"
"BayesFactor","0.9.12-4.6"
"bayesplot","1.10.0"
"bayestestR","0.13.1"
"bbmle","1.0.25.1"
"bdsmatrix","1.3-6"
"beeswarm","0.4.0"
"bench","1.1.3"
"benchmarkme","1.0.8"
"benchmarkmeData","1.0.4"
"betareg","3.1-4"
"BH","1.81.0-1"
"BiasedUrn","2.0.11"
"bibtex","0.5.1"
"bigD","0.2.0"
"biglm","0.9-2.1"
"binGroup","2.2-1"
"binman","0.1.3"
"BiocManager","1.30.22"
"bit","4.0.5"
"bit64","4.0.5"
"bitops","1.0-7"
"blob","1.2.4"
"bold","1.3.0"
"bookdown","0.37"
"boot","1.3-28.1"
"brew","1.0-10"
"bridgesampling","1.1-2"
"brio","1.1.4"
"brms","2.20.4"
"Brobdingnag","1.2-9"
"broom","1.0.5"
"broom.helpers","1.14.0"
"broom.mixed","0.2.9.4"
"bslib","0.6.1"
"btergm","1.10.11"
"BWStest","0.2.3"
"ca","0.71.1"
"cachem","1.0.8"
"Cairo","1.6-2"
"callr","3.7.3"
"car","3.1-2"
"carData","3.0-5"
"caret","6.0-94"
"caTools","1.18.2"
"cellranger","1.1.0"
"checkmate","2.3.1"
"chemometrics","1.4.4"
"chromote","0.1.2"
"chron","2.3-61"
"circlize","0.4.15"
"class","7.3-22"
"classInt","0.4-10"
"cleanrmd","0.1.1"
"cli","3.6.2"
"clipr","0.8.0"
"clisymbols","1.2.0"
"clock","0.7.0"
"cluster","2.1.6"
"cmprsk","2.2-11"
"cobs","1.3-5"
"coda","0.19-4"
"codetools","0.2-19"
"coin","1.4-3"
"collapse","2.0.7"
"colorblindr","0.1.0"
"colorspace","2.1-1"
"colourpicker","1.3.0"
"commonmark","1.9.0"
"conditionz","0.1.0"
"config","0.3.2"
"confintr","1.0.2"
"conflicted","1.2.0"
"contfrac","1.1-12"
"correlation","0.8.4"
"corrplot","0.92"
"corrr","0.4.4"
"covr","3.6.4"
"cowplot","1.1.2.9000"
"coxme","2.2-18.1"
"cpp11","0.4.7"
"crayon","1.5.2"
"credentials","2.0.1"
"crosstalk","1.2.1"
"crul","1.4.0"
"curl","5.2.0"
"cyclocomp","1.1.1"
"data.table","1.14.10"
"datamods","1.4.2"
"datawizard","0.9.1"
"DBI","1.2.0"
"dbplyr","2.4.0"
"debugme","1.1.0"
"deldir","2.0-2"
"dendextend","1.17.1"
"DendSer","1.0.2"
"DEoptimR","1.1-3"
"desc","1.4.3"
"DescTools","0.99.52"
"deSolve","1.40"
"devtools","2.4.5"
"dfidx","0.0-5"
"diagram","1.6.5"
"dials","1.2.0"
"DiceDesign","1.10"
"dichromat","2.0-0.1"
"diffobj","0.3.5"
"digest","0.6.33"
"diptest","0.77-0"
"distill","1.6"
"distributional","0.3.2"
"doParallel","1.0.17"
"doRNG","1.8.6"
"downlit","0.4.3"
"downloader","0.4"
"dplyr","1.1.4"
"drat","0.2.4"
"drc","3.0-1"
"dreamerr","1.4.0"
"DT","0.31"
"dtplyr","1.3.1"
"dygraphs","1.1.1.6"
"dynamicTreeCut","1.63-1"
"e1071","1.7-14"
"easystats","0.7.0"
"effects","4.2-2"
"effectsize","0.8.6"
"egg","0.4.5"
"ellipse","0.5.0"
"ellipsis","0.3.2"
"elliptic","1.4-0"
"emmeans","1.9.0"
"emojifont","0.5.5"
"epiR","2.0.66"
"ergm","4.6.0"
"esquisse","1.1.2"
"estimability","1.4.1"
"evaluate","0.23"
"Exact","3.2"
"expm","0.999-8"
"extrafont","0.19"
"extrafontdb","1.0"
"factoextra","1.0.7"
"FactoMineR","2.9"
"fansi","1.0.6"
"farver","2.1.1"
"fastGHQuad","1.0.1"
"fastmap","1.1.1"
"fastmatch","1.1-4"
"fasttime","1.1-0"
"fauxpas","0.5.2"
"feather","0.3.5"
"filehash","2.4-5"
"fit.models","0.64"
"fixest","0.11.2"
"flashClust","1.01-2"
"flexdashboard","0.6.2"
"flexmix","2.3-19"
"flextable","0.9.4"
"FNN","1.1.3.2"
"foghorn","1.5.1"
"fontawesome","0.5.2"
"fontBitstreamVera","0.1.1"
"fontcm","1.1"
"fontLiberation","0.1.0"
"fontquiver","0.2.1"
"forcats","1.0.0"
"foreach","1.5.2"
"forecast","8.21.1"
"foreign","0.8-86"
"formatR","1.14"
"formattable","0.2.1"
"Formula","1.2-5"
"fpc","2.2-11"
"fracdiff","1.5-2"
"fresh","0.2.0"
"fs","1.6.3"
"furrr","0.3.1"
"futile.logger","1.4.3"
"futile.options","1.0.1"
"future","1.33.0"
"future.apply","1.11.1"
"gam","1.22-3"
"gapminder","1.0.0"
"gargle","1.5.2"
"gclus","1.3.2"
"gdtools","0.3.5"
"gee","4.13-26"
"geepack","1.3.9"
"generics","0.1.3"
"geojson","0.3.5"
"geojsonio","0.11.3"
"geojsonsf","2.0.3"
"geometries","0.2.3"
"geomtextpath","0.1.1"
"geonames","0.999"
"geosphere","1.5-18"
"gert","2.0.1"
"gfonts","0.2.0"
"ggalignment","1.0.1"
"ggalluvial","0.12.5"
"GGally","2.2.0"
"gganimate","1.0.8"
"ggcorrplot","0.1.4.1"
"ggdark","0.2.1"
"ggdendro","0.1.23"
"ggdist","3.3.1"
"ggfittext","0.10.1"
"ggforce","0.4.1"
"ggformula","0.12.0"
"ggfun","0.1.3"
"gghighlight","0.4.1"
"ggimage","0.3.3"
"gginnards","0.1.2"
"ggiraph","0.8.8"
"ggnewscale","0.4.9"
"ggpattern","1.0.1"
"ggplot2","3.4.4"
"ggplot2movies","0.0.1"
"ggplotify","0.1.2"
"ggpmisc","0.5.5"
"ggpp","0.5.5"
"ggpubr","0.6.0"
"ggraph","2.1.0"
"ggrepel","0.9.4"
"ggridges","0.5.5"
"ggsci","3.0.0"
"ggside","0.2.3"
"ggsignif","0.6.4"
"ggstance","0.3.6"
"ggstats","0.5.1"
"ggstatsplot","0.12.1"
"ggtext","0.1.2"
"ggThemeAssist","0.1.5"
"ggthemes","5.0.0"
"ggvis","0.4.8"
"gh","1.4.0"
"gifski","1.12.0-2"
"git2r","0.33.0"
"gitcreds","0.1.2"
"gitr","0.0.1"
"gld","2.6.6"
"glmmTMB","1.1.8"
"glmnet","4.1-8"
"glmnetUtils","1.1.9"
"GlobalOptions","0.1.2"
"globals","0.16.2"
"glue","1.6.2"
"gmailr","2.0.0"
"gmm","1.8"
"gmp","0.7-3"
"googledrive","2.1.1"
"googlesheets4","1.1.1"
"gower","1.0.1"
"GPfit","1.0-8"
"gplots","3.1.3"
"graphlayouts","1.0.2"
"gridExtra","2.3"
"gridGraphics","0.5-1"
"gridpattern","1.1.1"
"gridSVG","1.7-5"
"gridtext","0.1.5"
"gt","0.10.0"
"gtable","0.3.4"
"gtools","3.9.5"
"gtsummary","1.7.2"
"hardhat","1.3.0"
"haven","2.5.4"
"heatmaply","1.5.0"
"here","1.0.1"
"hexbin","1.28.3"
"highcharter","0.9.4"
"highr","0.10"
"Hmisc","5.1-1"
"hms","1.1.3"
"hoardr","0.5.3"
"hrbrthemes","0.8.0"
"htmlTable","2.4.2"
"htmltools","0.5.7"
"htmlwidgets","1.6.4"
"httpcode","0.3.0"
"httpuv","1.6.13"
"httr","1.4.7"
"httr2","1.0.0"
"hunspell","3.0.3"
"huxtable","5.5.3"
"hypergeo","1.2-13"
"ids","1.0.1"
"igraph","1.6.0"
"infer","1.0.5"
"ini","0.3.1"
"inline","0.3.19"
"insight","0.19.7"
"intergraph","2.0-3"
"interp","1.1-5"
"ipred","0.9-14"
"IRdisplay","1.1"
"irlba","2.3.5.1"
"isdparser","0.4.0"
"isoband","0.2.7"
"iterators","1.0.14"
"joineRML","0.4.6"
"jomo","2.7-6"
"jpeg","0.1-10"
"jqr","1.3.3"
"jquerylib","0.1.4"
"jsonify","1.2.2"
"jsonlite","1.8.8"
"juicyjuice","0.1.0"
"JuliaCall","0.17.5"
"kableExtra","1.3.4"
"katex","1.4.1"
"Kendall","2.2.1"
"kernlab","0.9-32"
"KernSmooth","2.23-22"
"khroma","1.11.0"
"knitr","1.45"
"ks","1.14.1"
"kSamples","1.2-10"
"labeling","0.4.3"
"labelled","2.12.0"
"Lahman","11.0-0"
"lambda.r","1.2.4"
"LaplacesDemon","16.1.6"
"lars","1.3"
"later","1.3.2"
"lattice","0.22-5"
